Kernel               , RAJA_OpenMP , Hand_Opt , LoopChain
Lcals_GEN_LIN_RECUR  ,       1.000 ,    1.565 ,     1.400
Polybench_FDTD_2D    ,       1.000 ,    1.098 ,     1.119
Apps_ENERGY          ,       1.000 ,    1.603 ,     1.352
Apps_PRESSURE        ,       1.000 ,    1.039 ,     0.696
