Kernel               , RAJA_OpenMP , Hand_Opt , LoopChain
Lcals_HYDRO_2D       ,       1.000 ,    1.045 ,     0.948
Polybench_HEAT_3D    ,       1.000 ,    1.055 ,     1.043
Polybench_JACOBI_1D  ,       1.000 ,    1.219 ,     1.208
Polybench_JACOBI_2D  ,       1.000 ,    1.031 ,     1.024
