Kernel               , RAJA_OpenMP , Hand_Opt , LoopChain
Lcals_GEN_LIN_RECUR  ,       1.000 ,    1.001 ,     0.877
Polybench_FDTD_2D    ,       1.000 ,    1.151 ,     1.142
Apps_ENERGY          ,       1.000 ,    0.716 ,     0.571
Apps_PRESSURE        ,       1.000 ,    0.995 ,     0.985
