Kernel               , RAJA_OpenMP , Hand_Opt , LoopChain
Lcals_GEN_LIN_RECUR  ,       1.000 ,    0.993 ,     0.872
Polybench_FDTD_2D    ,       1.000 ,    1.150 ,     1.145
Apps_ENERGY          ,       1.000 ,    0.718 ,     0.574
Apps_PRESSURE        ,       1.000 ,    1.014 ,     0.994
