Kernel               , RAJA_OpenMP , Hand_Opt , LoopChain
Polybench_HEAT_3D    ,       1.000 ,    1.034 ,     1.216
Polybench_JACOBI_1D  ,       1.000 ,    1.221 ,     1.044
Polybench_JACOBI_2D  ,       1.000 ,    1.051 ,     1.057
